CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
0801905067U,3.0,1,1.0,3,265.0,265,243.0,243,70.0,70,80.0,80,42.0,42,13.0,13,72.0,72,5.0,5,0.0,0,0.0,0,0.0,0
0801905069A,2.0,3,4.0,3,131.0,131,168.0,168,94.0,94,69.0,69,23.0,23,28.0,28,21.0,24,2.0,2,1.0,1,0.0,0,0.0,0
0801905071U,0.0,3,0.0,7,0.0,212,0.0,296,0.0,135,0.0,121,0.0,61,0.0,31,0.0,58,0.0,6,0.0,1,0.0,0,0.0,0
0801905072U,0.0,2,0.0,4,0.0,269,0.0,356,0.0,138,0.0,145,0.0,55,0.0,44,0.0,50,0.0,8,0.0,4,0.0,0,0.0,0
0801905073B,0.0,0,0.0,0,0.0,102,0.0,181,0.0,62,0.0,73,0.0,32,0.0,21,0.0,26,0.0,4,0.0,0,0.0,0,0.0,0
0801905074A,0.0,1,0.0,5,0.0,164,0.0,170,0.0,88,0.0,52,0.0,13,0.0,14,0.0,43,0.0,1,0.0,0,0.0,0,0.0,0
0801905075A,0.0,3,0.0,4,0.0,165,0.0,161,0.0,78,0.0,71,0.0,30,0.0,24,0.0,35,0.0,0,0.0,0,0.0,0,0.0,0
0801905077U,0.0,3,0.0,9,0.0,324,0.0,229,0.0,101,0.0,122,0.0,37,0.0,31,0.0,77,0.0,2,0.0,0,0.0,0,0.0,0
0801905078B,0.0,0,0.0,9,0.0,205,0.0,156,0.0,62,0.0,116,0.0,28,0.0,14,0.0,43,0.0,2,0.0,0,0.0,0,0.0,0
0801905080U,4.0,6,4.0,10,181.0,181,225.0,225,170.0,170,105.0,105,67.0,67,47.0,47,39.0,39,5.0,2,3.0,2,0.0,0,0.0,0
0801905082A,0.0,0,0.0,5,0.0,86,0.0,169,0.0,116,0.0,40,0.0,43,0.0,41,0.0,14,0.0,5,0.0,1,0.0,0,0.0,0
0801905086U,0.0,4,0.0,2,0.0,194,0.0,237,0.0,149,0.0,86,0.0,62,0.0,35,0.0,18,0.0,3,0.0,0,0.0,0,0.0,0
0801905087U,0.0,3,0.0,4,0.0,240,0.0,285,0.0,151,0.0,125,0.0,58,0.0,35,0.0,49,0.0,11,0.0,0,0.0,0,0.0,0
