CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
4314808011A,1.0,1,0.0,0,176.0,176,16.0,16,34.0,34,81.0,81,36.0,32,5.0,5,26.0,26,8.0,8,0.0,0,0.0,0,0.0,0
4314809004B,1.0,1,0.0,0,190.0,198,7.0,7,13.0,13,76.0,76,24.0,24,1.0,1,27.0,27,2.0,2,2.0,2,0.0,0,0.0,0
4314809008U,0.0,1,2.0,0,293.0,238,8.0,12,29.0,19,101.0,106,39.0,20,1.0,6,39.0,29,6.0,9,1.0,2,0.0,0,0.0,0
4315502004U,1.0,1,3.0,3,89.0,89,147.0,147,133.0,133,54.0,54,26.0,26,25.0,25,13.0,13,0.0,0,0.0,2,0.0,0,0.0,0
4316001001A,8.0,8,4.0,4,148.0,148,117.0,117,154.0,134,73.0,73,17.0,17,21.0,21,13.0,13,7.0,7,0.0,0,0.0,0,0.0,0
4316101001U,4.0,4,0.0,0,64.0,64,113.0,113,82.0,82,45.0,45,8.0,8,41.0,41,15.0,15,0.0,5,2.0,2,0.0,0,0.0,0
4316106001A,0.0,0,1.0,1,95.0,95,130.0,130,114.0,114,53.0,54,12.0,12,28.0,28,19.0,19,1.0,1,0.0,0,0.0,0,0.0,0
4317001001A,1.0,1,2.0,2,50.0,50,143.0,143,117.0,117,34.0,34,8.0,8,16.0,16,9.0,9,2.0,2,1.0,0,1.0,0,0.0,0
4317001001B,1.0,1,1.0,1,37.0,37,134.0,134,119.0,119,35.0,35,9.0,9,22.0,22,4.0,4,1.0,1,1.0,0,1.0,0,0.0,0
4317101001A,3.0,3,2.0,2,186.0,186,60.0,60,78.0,78,65.0,65,27.0,27,15.0,15,11.0,11,4.0,4,1.0,0,0.0,0,0.0,0
