CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
0818701021U,1.0,1,6.0,3,129.0,131,109.0,161,179.0,179,97.0,97,56.0,42,36.0,46,22.0,37,5.0,5,3.0,2,0.0,0,0.0,0
0818701024A,0.0,1,0.0,1,148.0,123,56.0,67,98.0,90,104.0,96,60.0,37,15.0,13,16.0,12,5.0,3,2.0,2,1.0,0,0.0,0
0818701024B,6.0,2,0.0,2,124.0,143,48.0,69,58.0,134,107.0,104,44.0,60,16.0,12,12.0,19,2.0,1,0.0,0,0.0,0,0.0,0
0818701025A,6.0,6,1.0,0,124.0,124,48.0,48,58.0,58,107.0,107,44.0,44,16.0,16,12.0,12,2.0,2,2.0,0,0.0,0,0.0,0
0818702002A,2.0,2,2.0,2,48.0,48,173.0,173,145.0,145,21.0,21,24.0,24,35.0,35,8.0,8,2.0,2,0.0,1,0.0,0,0.0,0
0818704004A,2.0,2,3.0,3,158.0,158,37.0,37,67.0,67,102.0,102,54.0,54,15.0,15,24.0,24,24.0,11,1.0,1,0.0,0,0.0,0
0818704016A,5.0,5,1.0,1,180.0,180,52.0,52,119.0,119,98.0,98,60.0,60,18.0,18,23.0,23,1.0,9,0.0,0,0.0,0,0.0,0
0818705013A,3.0,3,1.0,0,217.0,217,68.0,68,121.0,121,120.0,120,69.0,69,16.0,16,26.0,26,10.0,10,5.0,5,0.0,0,0.0,0
0818706004B,1.0,1,1.0,1,115.0,155,35.0,35,68.0,68,97.0,97,44.0,44,11.0,11,18.0,18,5.0,5,1.0,1,0.0,0,0.0,0
0818707005U,3.0,2,0.0,5,176.0,288,25.0,30,57.0,86,95.0,140,46.0,82,18.0,17,21.0,14,4.0,5,3.0,2,0.0,0,0.0,0
0819401001B,0.0,0,2.0,2,137.0,137,71.0,71,114.0,114,94.0,94,29.0,29,15.0,15,46.0,46,7.0,7,2.0,2,1.0,0,0.0,0
0819401006A,2.0,2,2.0,2,105.0,105,46.0,46,75.0,75,62.0,62,49.0,49,8.0,8,20.0,20,2.0,2,1.0,0,1.0,0,0.0,0
0819403001U,0.0,0,2.0,2,101.0,101,19.0,19,58.0,58,48.0,48,33.0,33,10.0,10,22.0,22,6.0,6,1.0,1,1.0,0,0.0,0
0819601001A,2.0,2,1.0,1,182.0,182,50.0,50,97.0,97,140.0,140,30.0,30,12.0,12,22.0,22,5.0,5,3.0,3,3.0,0,0.0,0
0819601002A,3.0,3,4.0,4,198.0,198,3.0,32,0.0,109,108.0,108,32.0,53,53.0,7,13.0,13,6.0,6,0.0,3,7.0,0,0.0,0
0819601006A,1.0,1,3.0,3,85.0,185,21.0,21,68.0,68,99.0,99,43.0,43,9.0,9,20.0,20,3.0,3,2.0,2,2.0,0,0.0,0
0820002016A,0.0,0,4.0,4,137.0,137,37.0,37,93.0,93,84.0,89,55.0,55,17.0,17,21.0,21,13.0,13,1.0,1,0.0,0,0.0,0
0820004002A,2.0,2,0.0,2,120.0,120,37.0,37,89.0,89,83.0,83,42.0,42,11.0,11,12.0,12,3.0,3,0.0,0,0.0,0,0.0,0
0820004006C,0.0,0,1.0,1,149.0,149,36.0,36,58.0,58,97.0,97,37.0,37,5.0,5,26.0,26,5.0,5,1.0,1,1.0,0,0.0,0
0820502001A,1.0,1,4.0,3,137.0,147,176.0,193,103.0,64,51.0,53,18.0,20,12.0,10,25.0,22,3.0,1,1.0,0,0.0,0,0.0,0
0820502001B,3.0,0,5.0,4,171.0,139,221.0,164,104.0,60,72.0,49,29.0,13,22.0,9,33.0,25,2.0,2,1.0,1,0.0,0,0.0,0
0820701001C,5.0,1,1.0,5,31.0,31,314.0,314,176.0,176,22.0,22,12.0,12,51.0,51,3.0,3,0.0,0,1.0,1,0.0,0,0.0,0
0820801004A,1.0,1,3.0,3,80.0,157,153.0,48,151.0,72,67.0,67,46.0,27,42.0,8,22.0,21,5.0,9,2.0,3,0.0,0,0.0,0
0820901003B,1.0,1,1.0,1,182.0,182,80.0,80,98.0,98,61.0,61,28.0,28,14.0,14,30.0,30,3.0,3,1.0,1,1.0,0,0.0,0
0820901003C,1.0,1,1.0,0,153.0,153,93.0,93,95.0,95,87.0,87,53.0,52,21.0,21,25.0,25,7.0,7,1.0,1,1.0,0,0.0,0
0821101004A,1.0,0,3.0,3,154.0,200,128.0,103,89.0,115,63.0,101,32.0,70,33.0,30,20.0,18,1.0,7,3.0,3,0.0,0,0.0,0
0821103003A,5.0,5,1.0,1,165.0,165,76.0,76,126.0,126,98.0,98,44.0,44,17.0,17,20.0,20,3.0,3,1.0,1,1.0,0,0.0,0
0821103005A,5.0,5,4.0,4,154.0,154,58.0,65,96.0,96,100.0,100,16.0,58,16.0,16,19.0,19,3.0,3,0.0,0,0.0,0,0.0,0
0821105001A,0.0,0,2.0,2,133.0,133,7.0,7,20.0,26,85.0,85,27.0,27,7.0,7,16.0,16,1.0,1,1.0,1,0.0,0,0.0,0
0821701005C,3.0,3,2.0,2,115.0,115,44.0,44,87.0,87,89.0,89,37.0,37,9.0,9,34.0,34,4.0,4,1.0,0,0.0,0,0.0,0
0821703004A,0.0,0,0.0,0,220.0,220,19.0,19,35.0,35,121.0,121,64.0,64,2.0,2,35.0,35,0.0,6,0.0,2,0.0,0,0.0,0
0821703004B,0.0,1,0.0,0,218.0,218,25.0,25,45.0,45,161.0,161,66.0,66,7.0,7,31.0,31,0.0,14,0.0,4,0.0,0,0.0,0
0823101004B,0.0,3,0.0,2,0.0,268,0.0,39,0.0,67,0.0,139,0.0,59,0.0,24,0.0,29,0.0,7,0.0,1,0.0,0,0.0,0
0824002003A,2.0,2,2.0,2,77.0,65,160.0,91,131.0,117,81.0,46,32.0,36,29.0,22,18.0,22,2.0,2,0.0,0,0.0,0,0.0,0
0824401001C,0.0,0,0.0,1,98.0,98,118.0,118,152.0,152,63.0,63,46.0,46,23.0,23,14.0,14,4.0,4,1.0,1,0.0,0,0.0,0
0824502007C,0.0,0,1.0,0,142.0,142,23.0,23,56.0,56,86.0,86,52.0,52,7.0,7,22.0,22,3.0,3,2.0,2,0.0,0,0.0,0
0824503009U,3.0,3,1.0,0,324.0,324,69.0,69,155.0,155,227.0,227,106.0,106,31.0,31,45.0,45,10.0,10,9.0,9,0.0,0,0.0,0
0824503015A,0.0,0,2.0,2,143.0,143,31.0,31,62.0,62,70.0,70,60.0,60,21.0,21,16.0,16,0.0,2,1.0,1,0.0,0,0.0,0
0824503015B,2.0,2,0.0,0,126.0,126,28.0,28,90.0,90,98.0,96,66.0,66,16.0,16,18.0,18,5.0,5,1.0,1,0.0,0,0.0,0
0824504003B,4.0,4,1.0,1,190.0,190,9.0,9,83.0,83,138.0,138,0.0,51,14.0,14,38.0,38,6.0,6,2.0,2,0.0,0,0.0,0
0824504013A,2.0,6,2.0,2,116.0,116,17.0,17,38.0,38,63.0,63,17.0,17,6.0,6,14.0,14,4.0,4,1.0,1,0.0,0,0.0,0
