IDMESA,CodiMesa,MesaTancada,COMARCA,VNULS,VBLANCS,VERC,VJXC,VCUP,VPSC,VCS,VPPC,VCOM,VPACMA,VDIALEG,VPUMJUST,VRECORTES,VFAMILIA,VDN,VPFIV,VCONVER,VUNIDOS,VCILUS,CENS,ACTA
2,1700101001U,1,ALT EMPORDA,4,6,168,161,37,26,63,7,16,6,,,,,,,,,,591,https://cataloniavotes.today/imgs/2/2f4ec7c0-faff-4a57-9dd3-bd97e4328d9a.jpg
3,1700301001U,1,ALT EMPORDA,,,19,44,13,1,,2,1,1,,,,,,,,,,94,https://cataloniavotes.today/imgs/3/1454e3fd-f260-47f2-a124-18ccb9253e08.jpg
4,1701101001U,0,ALT EMPORDA,2,7,156,280,40,33,48,3,9,1,,,,,,,,,,644,
5,1701201001A,1,ALT EMPORDA,2,4,123,157,12,34,131,6,20,4,,,,,,,,,,598,https://cataloniavotes.today/imgs/5/2910435e-e686-408f-a2ba-0527239300ca.jpg
6,1701201001B,1,ALT EMPORDA,,2,132,137,18,24,115,11,17,,,,1,,,,,,,549,https://cataloniavotes.today/img/6/4efbd6d0-2a5c-4f70-8b19-e6fd2e93378a.jpg
7,1701601001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,731,
8,1723401001U,1,ALT EMPORDA,1,1,44,40,10,14,34,4,7,1,,,,,,,,,,180,https://cataloniavotes.today/imgs/8/0e2b053b-e38a-43c5-8986-4999f4b0ab5a.jpg
9,1702901001U,1,ALT EMPORDA,2,2,49,59,15,8,27,3,8,,,,,,,,,,,205,https://cataloniavotes.today/imgs/9/ffc0808e-33e6-48ee-95ec-f07094db2032.jpg
10,1702601001U,1,ALT EMPORDA,1,,98,258,19,17,65,7,10,2,,,,,,,,,,537,https://cataloniavotes.today/imgs/10/caff005e-15b6-4f4f-9dd5-d92928dafa0e.jpg
11,1703101001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,186,
12,1703001001U,1,ALT EMPORDA,4,1,98,187,30,36,122,24,13,3,,,1,,,,,,,628,https://cataloniavotes.today/imgs/12/be7f39fe-0968-4aae-9872-9ecc473d3ffa.jpg
13,1703201001A,1,ALT EMPORDA,1,3,183,259,28,55,80,2,35,5,,,,,,,,,,864,https://cataloniavotes.today/imgs/13/4279b029-1069-4ada-8837-e0b9914a4a2b.jpg
14,1703201001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,891,
15,1704101001U,1,ALT EMPORDA,,2,73,56,12,13,15,4,10,1,,,,,,,,,,226,https://cataloniavotes.today/imgs/15/49c77893-3c1b-4564-be54-e5a660c61f93.jpg
16,1704201001U,1,ALT EMPORDA,1,,87,157,13,16,49,6,13,1,,,,,,,,,,417,https://cataloniavotes.today/imgs/16/75959d7a-078a-4d8a-80d2-6c2cb5e5a108.jpg
17,1704701001A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,652,
18,1704701001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,677,
19,1704701002A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,642,
20,1704701002B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,591,
21,1704701003A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,590,
22,1704701003B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,600,
23,1704701004A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,398,
24,1704701004B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,532,
25,1705101001U,1,ALT EMPORDA,,1,42,101,18,10,14,6,2,,,1,,,,,,,,218,https://cataloniavotes.today/imgs/25/cdc83353-24f7-4bb7-84e0-ca4be6bd8714.jpg
26,1705401001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,358,
27,1706001001U,1,ALT EMPORDA,2,1,105,111,24,22,57,20,10,1,,,,,,,,,,422,https://cataloniavotes.today/imgs/27/e6f26a46-a2cd-435e-8948-9b35901f68c4.jpg
28,1706201001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,564,https://cataloniavotes.today/img/28/cff31cbd-0506-4227-b127-32ff6a66c91c.jpg
29,1706201002A,1,ALT EMPORDA,5,3,141,236,36,58,167,20,20,4,,,1,,,,,,,895,https://drive.google.com/open?id=1_jlQeV9PBIV33YiTbNM6lluJFN7Mgeji
30,1706201002B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,858,
31,1706201003A,0,ALT EMPORDA,,1,110,194,39,38,87,9,25,4,,,1,,,,,,,603,
32,1706201003B,0,ALT EMPORDA,1,1,102,217,31,37,50,6,17,3,,1,,,,,,,,569,
33,1706201004A,1,ALT EMPORDA,3,4,87,137,22,53,132,19,14,1,,1,1,,,,,,,607,HTTP ERROR
34,1706201004B,1,ALT EMPORDA,,3,80,118,20,51,128,11,18,5,,,,,,,,,,521,https://cataloniavotes.today/imgs/34/64cb3d68-2fd8-43f2-8ecd-1ce220a52dd7.jpg
35,1706201005A,1,ALT EMPORDA,3,2,93,155,23,38,88,15,16,2,,,1,,,,,,,585,https://cataloniavotes.today/imgs/35/294a62fd-c37a-451d-9aa4-3cb5423ddfd1.jpg
36,1706201005B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,564,
37,1706401001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
38,1700501001U,0,ALT EMPORDA,2,1,98,129,10,21,54,17,17,,,,,,,,,,,428,
39,1706601001U,0,ALT EMPORDA,1,4,120,176,19,41,133,23,18,2,,,1,,,,,,,698,https://cataloniavotes.today/img/39/1248b549-2c3a-4002-9e58-2aa2dc50f62a.jpg
40,1706601003A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,906,
41,1706601003B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,702,
42,1706601004U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,805,
43,1706601005U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,822,
44,1706601006A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,710,
45,1706601006B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,709,
46,1706601007U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,1084,
47,1706601008U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,603,
48,1706602001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
49,1706602002U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,967,
50,1706602004A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,742,
51,1706602004B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,742,
52,1706602005U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,809,
53,1706603001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
54,1706603002A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,544,
55,1706603002B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,438,
56,1706601002U,1,ALT EMPORDA,2,3,114,189,36,55,230,39,23,2,,,2,,,,,,,848,https://drive.google.com/open?id=136Icg1CHhCCro58CI0yZj5axJvp6R53C
57,1706602003U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,799,
58,1706603003A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,739,
59,1706603003B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,925,
60,1706603004U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
61,1706603005A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
62,1706603005B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
63,1706604001U,1,ALT EMPORDA,3,6,130,225,37,52,138,23,17,1,,,1,,,,,,,903,https://cataloniavotes.today/imgs/63/53f9dae5-50d4-4b4b-9449-97ea471acd7b.jpg
64,1706604002A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,692,
65,1706604002B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,616,
66,1706604003A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,708,
67,1706604003B,1,ALT EMPORDA,,5,111,153,25,44,120,32,20,5,,1,,,,,,,,708,https://cataloniavotes.today/imgs/67/2ceefe62-cf1b-44f8-b687-d6657f8ddb87.jpg
68,1706604004A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,808,
69,1706604004B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,827,
70,1706604005U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,1089,
71,1706604007U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,718,
72,1706604008U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,761,
73,1706604009U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,997,
74,1707401001U,1,ALT EMPORDA,1,5,124,138,28,38,81,13,15,1,,,2,,,,,,,527,https://cataloniavotes.today/imgs/74/e6b72fd8-2874-4d0e-9ba2-a37739b0b4dc.jpg
75,1707501001U,0,ALT EMPORDA,2,,86,115,33,9,27,5,7,1,,,1,,,,,,,327,https://cataloniavotes.today/img/75/3e3fb428-c4c3-43b4-80c2-310835fcd173.jpg
76,1707701001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
77,1708601001A,1,ALT EMPORDA,1,1,81,103,17,32,126,21,10,1,,,,,,,,,,517,https://cataloniavotes.today/imgs/77/35fc6052-7ee3-4473-b41b-47699ef0312c.jpg
78,1708601001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,534,
79,1708601002U,1,ALT EMPORDA,7,3,106,110,14,47,195,18,21,4,,1,,,,,,,,672,https://cataloniavotes.today/imgs/79/854aa7c9-1879-424d-b49b-b98d4bc243b7.jpg
80,1708801001U,0,ALT EMPORDA,,2,188,188,31,17,34,10,20,1,,,,,,,,,,554,https://cataloniavotes.today/img/80/50aefb10-8b30-4da8-9272-90cf62466028.jpg
81,1709101001U,0,ALT EMPORDA,1,3,71,205,15,8,26,4,5,,,,,,,,,,,400,https://cataloniavotes.today/img/81/a3a3473c-df67-4632-a2f6-b6faedcc5354.jpg
82,1709201001A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
83,1709201001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
84,1709201002A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,832,
85,1709201002B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,802,
86,1709201003U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,846,
87,1710001001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,192,
88,1710601001U,1,ALT EMPORDA,,,47,49,8,4,7,2,4,,,,,,,,,,,137,https://cataloniavotes.today/img/88/72dbba70-8a1a-476d-a211-ce7acbf97d81.jpg
89,1711101001U,0,ALT EMPORDA,1,11,174,369,70,29,83,13,21,2,,,1,,,,,,,,https://cataloniavotes.today/img/89/d4c45226-ef72-49ea-b179-958e10dc1295.jpg
90,1711501001U,1,ALT EMPORDA,,2,67,113,18,8,26,7,3,,,,,,,,,,,278,https://cataloniavotes.today/imgs/90/a855025a-5747-488e-b990-bf6efa9480eb.jpg
91,1711901001U,0,ALT EMPORDA,1,,22,21,7,8,2,,7,,,,,,,,,,,79,
92,1712001001U,0,ALT EMPORDA,10,1,170,229,21,48,141,13,15,9,,,,,,,,,,803,https://cataloniavotes.today/img/92/acf5808b-e93b-4c7b-8546-b94fe8914656.jpg
93,1712801001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,305,
94,1712901001U,1,ALT EMPORDA,,1,32,45,7,1,26,10,3,,,,,,,,,,,143,https://cataloniavotes.today/imgs/94/0be02bc4-00e3-4d38-b6e8-39b5883d9df7.jpg
95,1713201001A,1,ALT EMPORDA,,2,116,231,22,32,70,10,15,2,,,1,,,,,,,589,https://cataloniavotes.today/imgs/95/5237a209-3b41-4c99-be91-253e665154a3.jpg
96,1713201001B,1,ALT EMPORDA,2,4,116,194,16,31,75,6,20,1,,1,,,,,,,,546,https://cataloniavotes.today/imgs/96/944aa97d-dd69-45b4-85df-dc0beb380174.jpg
97,1713201001C,0,ALT EMPORDA,1,3,37,97,11,9,22,4,1,1,,,,,,,,,,212,https://cataloniavotes.today/img/97/4a6b24fc-83fb-4cfa-a39c-862981e236f5.jpg
98,1713501001U,1,ALT EMPORDA,5,,98,107,12,21,68,13,12,1,,,,,,,,,,384,https://cataloniavotes.today/imgs/98/2ced9e87-dc8a-4367-be93-fa648a81e225.jpg
99,1713601001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,178,
100,1714001001U,1,ALT EMPORDA,1,1,106,282,32,38,73,15,17,2,,2,1,,,,,,,666,https://cataloniavotes.today/imgs/100/11518210-a451-42f1-af5d-b4d149fe0d38.jpg
101,1713801001A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
102,1713801001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
103,1714301001U,1,ALT EMPORDA,,,39,51,9,5,11,,8,,,,,,,,,,,143,https://cataloniavotes.today/imgs/103/939019b9-dcfc-4c9c-bfdc-b34bb9535302.jpg
104,1715101001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,183,
105,1715201001A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,599,
106,1715201001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,512,
107,1715201002A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,491,
108,1715201002B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,571,
109,1715201003A,0,ALT EMPORDA,5,1,133,123,9,46,237,20,27,5,,,2,,,,,,,785,https://cataloniavotes.today/img/109/a9e5a29a-e0ec-40f3-bfc6-8f3925770b20.jpg
110,1715201003B,0,ALT EMPORDA,,5,56,57,8,43,243,22,9,7,,,,,,,,,,560,https://cataloniavotes.today/img/110/3184ff9b-23a8-4e2c-a122-278ef691bf66.jpg
111,1715201004A,0,ALT EMPORDA,,4,67,56,4,60,225,21,12,5,,1,,,,,,,,576,https://cataloniavotes.today/img/111/1c0addd7-d717-49f8-a979-8c99c2d7d4ff.jpg
112,1715201004B,0,ALT EMPORDA,1,,31,62,6,21,85,20,10,2,,1,,,,,,,,377,https://cataloniavotes.today/img/112/184dbba4-4e3c-402f-9e0e-df2fc2a3c332.jpg
113,1715201005U,0,ALT EMPORDA,3,1,48,67,5,13,108,14,15,2,,,1,,,,,,,477,https://cataloniavotes.today/img/113/4b7cd516-f090-4601-9752-1fe3057e087a.jpg
114,1715201006A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,632,
115,1715201006B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,628,
116,1715202001A,0,ALT EMPORDA,1,3,68,120,8,46,88,9,12,1,,,,,,,,,,483,https://cataloniavotes.today/img/116/f167f9e3-a817-42fc-b0a7-5c903222b3e9.jpg
117,1715202001B,0,ALT EMPORDA,2,,60,104,7,39,75,11,13,1,,1,,,,,,,,436,https://cataloniavotes.today/img/117/59c9d428-6515-48b2-996c-cc35c5e6a7a7.jpg
118,1715202002A,0,ALT EMPORDA,3,2,116,117,9,69,111,18,26,,,1,1,,,,,,,664,https://cataloniavotes.today/img/118/c2d4c06b-7466-42fa-bf80-f40a5b97e86f.jpg
119,1715202002B,0,ALT EMPORDA,2,5,90,113,16,60,160,15,26,,,,1,,,,,,,639,https://cataloniavotes.today/img/119/f8eed2d4-a123-4510-ad77-1a17f6b6198d.jpg
120,1715202003U,0,ALT EMPORDA,1,2,133,201,11,35,145,17,27,4,,,1,,,,,,,727,https://cataloniavotes.today/img/120/e32f2d8e-2871-4153-8154-a1d0f239e9b0.jpg
121,1715202004U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,776,
122,1715202005A,0,ALT EMPORDA,1,2,67,65,11,42,139,21,12,3,,,,,,,,,,495,https://cataloniavotes.today/img/122/4d25a73a-39bb-467a-bec0-af1fe627340e.jpg
123,1715202005B,1,ALT EMPORDA,,1,77,74,12,35,141,9,12,3,,1,1,,,,,,,480,https://cataloniavotes.today/imgs/123/7a48c2a2-822f-4118-af09-e1821c439992.jpg
124,1715801001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,466,
125,1717101001U,1,ALT EMPORDA,,,45,53,9,9,16,4,9,1,,,2,,,,,,,166,https://cataloniavotes.today/imgs/125/858557ee-9081-46a6-9599-08c02bce7d61.jpg
126,1717501001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
127,1717601001U,1,ALT EMPORDA,,,16,41,5,10,24,2,6,,,,,,,,,,,122,https://cataloniavotes.today/imgs/127/8cfee0e0-211f-49a9-8202-fd66f9d9149d.jpg
128,1717801001A,1,ALT EMPORDA,2,5,117,189,27,22,59,5,13,1,,,,,,,,,,569,https://cataloniavotes.today/imgs/128/a50ef71b-1ab9-4980-ab5b-b1968a197db6.jpg
129,1717801001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,477,
130,1718201001U,1,ALT EMPORDA,,1,41,40,2,26,85,16,15,4,,,1,,,,,,,271,https://cataloniavotes.today/imgs/130/2eb824ab-fc36-467e-99ac-80198ce1c96c.jpg
131,1718701001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,627,
132,1718801001U,1,ALT EMPORDA,,3,43,57,19,2,9,1,8,,,,,,,,,,,168,https://cataloniavotes.today/imgs/132/8b2bc06d-20bb-4873-9927-500547c5bba5.jpg
133,1705201001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,128,
134,1719601001U,1,ALT EMPORDA,,,52,80,11,9,29,8,10,1,,,,,,,,,,236,https://cataloniavotes.today/imgs/134/7ff642d5-16b7-4c93-b6a2-b8b165643f27.jpg
135,1719801001U,1,ALT EMPORDA,3,,89,122,25,20,69,4,13,4,,2,,,,,,,,426,https://cataloniavotes.today/img/135/469637dc-6df9-4605-b32d-a410c7de4dc2.jpg
136,1701401001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,64,
137,1721001001U,1,ALT EMPORDA,3,,110,210,36,25,66,13,8,1,,,,,,,,,,552,https://cataloniavotes.today/imgs/137/6836527e-a2cd-4afb-99b2-e522529d5b8f.jpg
138,1723001001U,1,ALT EMPORDA,1,4,85,136,14,37,100,15,12,3,,,,,,,,,,469,https://cataloniavotes.today/img/138/f20e377c-8739-4fe2-92b3-beb3bd809c04.jpg
139,1721401001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,706,
140,1721701001U,0,ALT EMPORDA,,1,70,140,71,9,20,5,12,,,,,,,,,,,354,
141,1722101001A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,455,
142,1722101001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,484,
143,1722101002U,1,ALT EMPORDA,2,2,152,145,26,64,218,16,20,4,,1,1,,,,,,,762,https://cataloniavotes.today/imgs/143/2e5884f7-66d7-4303-aad6-df7f6c39da12.jpg
144,1722101003A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
145,1722101003B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
146,1722101004A,1,ALT EMPORDA,1,3,94,137,19,45,126,24,24,1,,,2,,,,,,,568,https://cataloniavotes.today/imgs/146/dea6c25d-322f-44a9-9d5a-7806662314c7.jpg
147,1722101004B,1,ALT EMPORDA,,5,111,141,18,51,141,29,21,4,,,2,,,,,,,596,https://cataloniavotes.today/imgs/147/772b114a-4c1c-426f-9b71-e6921e5cd059.jpg
148,1722301001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,710,
149,1722501001U,1,ALT EMPORDA,,,62,71,10,5,25,3,1,1,,,,,,,,,,209,https://cataloniavotes.today/img/149/566524d9-0f2e-4645-80b4-db3657af693a.jpg
150,1722601001A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,425,
151,1722601001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,461,
152,1722701001U,1,ALT EMPORDA,,,41,47,13,7,8,,2,,,,,,,,,,,135,https://cataloniavotes.today/imgs/152/fcb4fcd0-4ff3-47c2-b3ea-40662e953135.jpg
153,1722801001U,0,ALT EMPORDA,1,1,51,115,18,14,27,8,10,1,,,,,,,,,,285,https://cataloniavotes.today/img/153/9f743e55-132b-4e0d-86fd-ce24f570cd64.jpg
154,1722201001U,1,ALT EMPORDA,2,,18,55,14,1,2,1,2,,,,,,,,,,,100,https://cataloniavotes.today/img/154/b3122656-a54a-42a7-a778-f4b7ef1c13e0.JPG
155,0800801001U,0,ANOIA,0,0,47,71,17,3,12,3,3,2,,0,0,,,,,,,190,
156,0802101001U,1,ANOIA,3,,13,22,3,4,10,2,2,,,,,,,,,,,68,https://cataloniavotes.today/imgs/156/a44dbd93-4c58-48ee-b360-57938eaa9101.jpg
157,0802501001A,1,ANOIA,1,4,167,132,60,52,101,18,44,4,,,2,,,,,,,693,https://cataloniavotes.today/img/157/b1fe5eb7-aeeb-4706-9290-9a21d20e6c3d.jpg
158,0802501001B,0,ANOIA,3,6,184,169,65,59,119,22,57,2,,,1,,,,,,,808,https://cataloniavotes.today/img/158/1310a5ab-1c2d-4832-9722-09ec9b45d0aa.jpg
159,0802801001A,1,ANOIA,2,7,115,126,14,50,102,9,32,5,,,3,,,,,,,525,https://cataloniavotes.today/imgs/159/f4a8d37c-80dc-440a-a508-37338eace1de.jpg
160,0802801001B,1,ANOIA,1,3,88,65,16,36,99,8,18,5,,,2,,,,,,,442,https://cataloniavotes.today/imgs/160/bd4c46ae-e8a8-434b-8120-87cf2cdf48c2.jpg
161,0803101001U,0,ANOIA,,,,,,,,,,,,,,,,,,,,479,
162,0803101002A,0,ANOIA,1,4,142,221,21,39,66,22,17,2,,,1,,,,,,,639,https://cataloniavotes.today/img/162/018dd0fe-851c-4af5-8071-53b67293f1f1.jpg
163,0803101002B,0,ANOIA,1,2,105,182,15,48,80,20,29,3,,1,1,,,,,,,563,https://cataloniavotes.today/img/163/b289f864-4e15-4417-8a4e-ff1da1943b12.jpg
164,0803101002C,0,ANOIA,,,,,,,,,,,,,,,,,,,,682,
165,0803601001U,1,ANOIA,,1,24,96,5,6,6,,3,,,,,,,,,,,166,https://cataloniavotes.today/imgs/165/d91eb61e-65c1-4ba7-a228-0711e033fed6.jpg
166,0804401001A,1,ANOIA,,6,165,146,53,89,162,28,36,7,,,4,,,,,,,852,https://cataloniavotes.today/img/166/104299cc-6a5e-4960-9c01-40f64f67b61c.jpg
167,0804401001B,0,ANOIA,1,3,169,164,49,105,215,31,41,10,,,3,,,,,,,962,
168,0804402001A,1,ANOIA,1,3,104,88,41,59,91,5,20,,,,1,,,,,,,474,https://cataloniavotes.today/imgs/168/7b06976e-34aa-46a4-a221-2380c29f26cc.jpg
169,0804402001B,1,ANOIA,1,2,126,117,39,69,109,10,15,1,,,,,,,,,,569,https://cataloniavotes.today/imgs/169/ca0618d9-a36e-447e-bb0f-700cf34709ea.jpg
170,0804402002A,1,ANOIA,2,2,138,111,54,45,85,17,18,5,,,,,,,,,,565,https://cataloniavotes.today/imgs/170/402e0268-1960-4e6a-b8ea-1545c6231f16.jpg
171,0804402002B,1,ANOIA,3,2,170,144,74,68,87,11,24,3,,,1,,,,,,,705,https://cataloniavotes.today/img/171/5c0d8b30-ab98-43aa-a483-4d7c165abef0.jpg
172,0804801001U,0,ANOIA,3,1,147,207,26,37,52,8,7,4,,,2,,,,,,,574,
173,0806001001U,1,ANOIA,,,25,67,5,8,15,5,5,,,,,,,,,,,143,https://cataloniavotes.today/imgs/173/dcaf32dd-9051-4af5-923d-740a2acdc0ce.jpg
174,0806301001U,1,ANOIA,1,3,128,207,21,19,19,4,17,4,,,,,,,,,,462,https://cataloniavotes.today/img/174/812845fa-bb67-4aaa-8286-ad39a3fe2446.jpg
175,0807101001U,1,ANOIA,2,1,75,68,23,17,18,3,5,2,,,,,,,,,,248,https://cataloniavotes.today/imgs/175/f3082d7a-deca-4268-9a8d-c5a9bfe27392.jpg
176,0816201001A,0,ANOIA,1,5,198,170,44,53,102,13,38,6,,,4,,,,,,,742,https://cataloniavotes.today/img/176/64b19993-2499-4eae-be03-6e5d27b4d441.jpg
177,0816201001B,0,ANOIA,2,8,191,161,44,77,115,16,38,4,,,1,,,,,,,775,https://cataloniavotes.today/img/177/325d2111-0911-43fe-a604-1dc084249206.jpg
178,0816201001C,0,ANOIA,,1,89,56,18,60,154,35,30,6,,,,,,,,,,,
179,0810201001A,1,ANOIA,2,2,102,122,19,45,51,12,28,10,,,1,,,,,,,537,https://cataloniavotes.today/img/179/b1a32b1e-3e47-49d1-8892-4ffc9e9d9de7.jpg
180,0810201001B,0,ANOIA,,1,146,180,38,27,74,10,24,3,,,1,,,,,,,699,https://cataloniavotes.today/img/180/2dcbd8a4-9029-42bb-b73b-f8daf7e0ae65.jpg
181,0810202001U,0,ANOIA,2,,190,272,42,49,102,27,28,5,,,2,,,,,,,887,https://cataloniavotes.today/img/181/e5362e6f-b049-4af0-ad33-cc0575c0cf74.jpg
182,0810202002U,0,ANOIA,4,,129,178,21,44,74,15,19,1,,,,,,,,,,487,
183,0810202003A,1,ANOIA,1,1,114,221,26,35,60,13,15,4,,,1,,,,,,,609,https://cataloniavotes.today/imgs/183/bfecf8d5-f458-43e0-bf9f-9682821b2559.jpg
184,0810202003B,1,ANOIA,,4,138,202,33,32,53,15,17,1,,,3,,,,,,,621,https://cataloniavotes.today/img/184/476d51ad-f71c-4528-a1be-621198a4c9db.jpg
185,0810203001U,0,ANOIA,3,6,166,237,34,72,119,14,36,7,,,,,,,,,,898,https://cataloniavotes.today/img/185/ed57ed25-e5b1-4df7-a00f-40f07275ff41.jpg
186,0810203002A,1,ANOIA,2,3,115,204,22,53,109,17,27,7,,,2,,,,,,,672,https://cataloniavotes.today/img/186/87a6a92d-f9dd-4672-86a1-87a21af0d9a7.jpg
187,0810203002B,0,ANOIA,,,,,,,,,,,,,,,,,,,,762,
188,0810203003A,1,ANOIA,1,4,76,141,20,32,60,19,12,1,,,1,,,,,,,450,https://cataloniavotes.today/imgs/188/19602969-8e68-432e-919f-4deaff647d57.jpg
189,0810203003B,1,ANOIA,1,2,113,174,15,34,69,20,16,2,,,3,,,,,,,534,https://cataloniavotes.today/img/189/f787cbb2-bc2d-440d-ab09-e421e4f02bfc.jpg
190,0810203004A,1,ANOIA,2,3,143,215,19,55,108,14,34,3,,1,1,,,,,,,719,https://cataloniavotes.today/imgs/190/cefa5441-44cc-4ae7-a543-4f169a9bd9e0.jpg
191,0810203004B,1,ANOIA,4,3,198,240,34,62,114,19,32,3,,,1,,,,,,,846,https://cataloniavotes.today/imgs/191/ed75eb29-5dda-4d9a-885c-95774631f102.jpg
192,0810203005A,0,ANOIA,2,2,18,17,4,88,133,14,17,2,,,2,,,,,,,354,https://cataloniavotes.today/img/192/52e78dc4-dde0-4372-81ae-b220281533f1.jpg
193,0810203005B,0,ANOIA,,,,,,,,,,,,,,,,,,,,413,https://cataloniavotes.today/img/193/5592d719-6d02-4445-9e1c-db2e37362d55.jpg
194,0810203006A,0,ANOIA,2,,141,176,30,50,112,10,31,6,,,,,,,,,,630,
195,0810203006B,0,ANOIA,,,,,,,,,,,,,,,,,,,,780,
196,0810203007A,0,ANOIA,3,3,161,241,38,64,146,18,41,3,,,1,,,,,,,817,https://cataloniavotes.today/img/196/1437bfaf-c752-43a2-bf0c-7ab3a6e99ce1.jpg
197,0810203007B,0,ANOIA,11,2,212,309,25,63,137,24,28,5,,,3,,,,,,,914,
198,0810203008A,0,ANOIA,2,3,108,90,21,51,118,13,25,1,,,1,,,,,,,501,https://cataloniavotes.today/img/198/d453688c-d14a-4756-a139-617b7658c6e1.jpg
